name,country,position,age,overall_rating,potential,club,value,wage,total_stats,hits
 I. Sarr,Senegal,"RM,ST",,,,Watford,,,,
 S. Dest,United States,,,,,FC Barcelona,,,,
 M. Zaccagni,Italy,,,,,Hellas Verona,,,,
 M. Rashford,England,,,,,Manchester United,,,,
 João Félix,Portugal,,,,,Atlético Madrid,,,,
 P. Foden,England,,,,,Manchester City,,,,
 O. Kabak,Turkey,,,,,FC Schalke 04,,,,
 I. Konaté,France,,,,,RB Leipzig,,,,
 K. Havertz,Germany,,,,,Chelsea,,,,
 K. Walker-Peters,England,,,,,Southampton,,,,
 J. Koundé,France,,,,,Sevilla FC,,,,
 Riqui Puig,Spain,,,,,FC Barcelona,,,,
 Neymar Jr,Brazil,,,,,Paris Saint-Germain,,,,
 Adama Traoré,Spain,,,,,Wolverhampton Wanderers,,,,
 M. Ihattaren,Netherlands,,,,,PSV,,,,
 C. De Ketelaere,Belgium,,,,,Club Brugge KV,,,,
 H. Son,Korea Republic,,,,,Tottenham Hotspur,,,,
 Eric García,Spain,,,,,Manchester City,,,,
 D. Alaba,Austria,,,,,FC Bayern München,,,,
 J. Frimpong,Netherlands,,,,,Celtic,,,,
 N. Mukiele,France,,,,,RB Leipzig,,,,
 Nuno Tavares,Portugal,,,,,SL Benfica,,,,
 Gabriel Martinelli,Brazil,,,,,Arsenal,,,,
 M. Boadu,Netherlands,,,,,AZ Alkmaar,,,,
 M. Ødegaard,Norway,,,,,Real Madrid,,,,
 T. Lamptey,England,,,,,Brighton & Hove Albion,,,,
 K. Tierney,Scotland,,,,,Arsenal,,,,
 M. Aarons,England,,,,,Norwich City,,,,
 C. Jones,England,,,,,Liverpool,,,,
 S. Esposito,Italy,,,,,SPAL,,,,
 M. Djenepo,Mali,,,,,Southampton,,,,
 João Pedro,Brazil,,,,,Watford,,,,
 M. Vandevoordt,Belgium,,,,,KRC Genk,,,,
 Antony,Brazil,,,,,Ajax,,,,
 Y. Demir,Austria,,,,,SK Rapid Wien,,,,
 B. Williams,England,,,,,Manchester United,,,,
 A. Urzi,Argentina,,,,,Club Atlético Banfield,,,,
 Vinícius Jr.,Brazil,,,,,Real Madrid,,,,
 A. Isak,Sweden,,,,,Real Sociedad,,,,
 Z. Ibrahimović,Sweden,,,,,Milan,,,,
 Nuno Mendes,Portugal,,,,,Sporting CP,,,,
 H. Aouar,France,,,,,Olympique Lyonnais,,,,
 T. Hernández,France,,,,,Milan,,,,
 Ferran Torres,Spain,,,,,Manchester City,,,,
 Bruno Guimarães,Brazil,,,,,Olympique Lyonnais,,,,
 M. Kudus,Ghana,,,,,Ajax,,,,
